Vessel Name: Sample Data
Date Time	Elapsed	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	I3	I4	I5	I6	I7	I8	I9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I20	I21	J3	J4	J5	J6	J7	J8	J9	J10	J11	J12	J13	J14	J15	J16	J17	J18	J19	J20	J21	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21
8/3/2023 6:58:00 PM	0	2.769409	2.108828	5.105032	1.851167	1.964052	2.68582	2.329818	4.022276	2.867473	5.082767	2.386294	2.69504	3.420838	2.317526	2.937129	2.039923	1.541193	2.463328	1.712195	2.940955	2.694426	2.906059	3.873195	3.26404	2.309604	1.939671	3.403082	2.364443	2.603667	2.817143	2.12638	2.206553	3.596958	2.868704	2.235851	1.988021	1.951964	3.130259	3.514666	2.622993	2.627636	3.628237	3.423431	2.527658	2.263508	2.703439	2.673937	2.214202	2.051465	2.624084	3.3576	2.246366	2.855659	2.489074	3.128551	2.113335	3.151088	3.42903	2.906332	2.554906	2.533326	2.98473	2.484839	2.992994	2.891854	3.478133	3.077607	6.363162	2.932214	2.050849	2.545073	1.871995	2.740999	1.952648	3.083957	2.631529	3.633837	7.379807	2.942117	3.009111	2.846714	2.649285	2.840774	2.464899	2.220416	3.002965	2.883385	2.909473	2.548076	2.917668	1.687745	2.164145	1.948275	1.833684	1.900404	3.525186	3.073303	2.937951	2.79488	2.52636	2.959666	2.976536	2.868361	2.067785	3.122336	2.652903	4.214583	2.539472	2.420167	2.179783	2.564262	1.786427	1.911399	2.773505	2.571158	3.059509	2.884548	3.644149	2.34054	3.445422	2.813456	2.850606	2.907493	4.405731	3.142208	2.996818	2.736559	2.217343	2.254766	2.345457	1.483692	1.697784	2.545208	3.36238	3.506951	3.994481	4.137074	2.534827	8.092965	2.745301	4.398561	3.33397	4.212194	2.159364	6.933938	2.017387	2.157315	1.752554	1.459722	2.874235	2.878879	2.221714
8/4/2023 12:58:00 AM	6	5.522834	5.366311	6.974294	4.147043	5.077374	5.604242	4.665715	6.149883	6.700581	7.728502	4.366055	6.291862	5.529187	4.54552	5.89359	4.687227	4.175659	3.556055	4.182281	5.875901	5.241887	5.218329	6.681871	6.952439	4.397332	3.943947	5.668364	4.994059	6.471264	5.742871	5.238676	4.987025	6.299511	5.330667	4.511718	4.646115	4.113172	5.110087	6.360494	5.015434	5.597752	6.251025	6.861682	4.850647	4.494782	5.018165	5.568523	5.348215	4.691938	5.982845	7.034461	4.883152	5.59304	5.418966	3.434016	4.330407	4.352943	6.724554	6.191473	4.379369	5.425386	5.24332	4.540809	5.377923	5.418078	6.336936	6.840239	10.34562	5.46192	4.853037	5.165948	4.065368	4.890188	4.143288	3.511254	5.392605	6.268573	10.69281	5.998348	5.911618	5.286275	4.954246	5.748197	4.579736	4.99194	6.914472	5.558006	6.2793	5.160551	5.289896	3.689355	4.763166	4.014081	3.916832	4.699929	5.58874	5.256228	5.65252	6.298828	5.608747	6.193933	6.161563	5.65976	5.321106	6.338712	5.80085	7.603665	5.7413	4.647005	5.034351	5.230414	3.346331	3.996325	4.597286	4.533981	6.029829	6.087739	6.119768	5.684277	6.532929	5.927049	5.849132	5.954438	8.009312	6.425712	6.097779	5.497159	4.973229	4.624946	4.921738	3.188101	3.812692	4.91846	6.510259	7.027696	6.467983	7.651331	5.98633	17.31336	5.439179	7.095236	6.150362	8.602149	5.317621	10.26504	4.609169	4.721576	3.530444	3.584736	6.691232	5.189371	5.178785
8/4/2023 6:58:00 AM	12	6.209641	6.129945	7.697907	4.474637	5.34289	6.004765	4.950079	7.285496	7.240082	9.0179	5.163487	7.505938	6.777956	4.9369	6.330449	5.553565	4.899543	3.901811	4.225782	6.329079	5.5199	5.32964	6.9045	7.337741	5.17578	4.862803	6.325256	5.41405	6.472424	6.532998	5.423949	5.788897	6.678047	5.678334	5.342615	4.74582	5.000819	5.554251	5.766773	5.579724	6.945818	7.847874	7.338424	5.977654	5.58266	5.035171	6.327649	5.730645	4.555357	6.909075	7.611039	5.11432	6.306541	6.042054	3.526006	4.79096	4.177162	7.466676	6.726535	5.563743	6.602041	6.164704	5.706471	5.614963	5.869073	7.186885	7.468996	10.91257	6.074084	5.192239	5.631351	4.291889	5.24578	4.603843	3.962591	5.826117	6.878826	10.82618	7.960553	6.703589	5.62616	5.66215	6.220495	4.757977	5.110426	7.118526	5.443892	6.401674	5.629029	5.535743	4.093162	5.241407	4.036959	4.064138	5.722724	6.289132	5.765337	6.152616	6.478432	6.150909	6.808141	6.382073	6.393752	5.929165	7.080078	6.05011	7.928729	5.645761	4.765624	5.737748	5.629982	3.437295	4.656974	3.970103	5.632444	6.5905	6.785198	6.671492	5.674714	6.710965	6.244263	5.53185	6.632841	8.11858	6.409251	6.626761	5.254386	5.430985	4.684359	5.200366	3.795892	4.09084	5.18589	7.275662	7.693127	6.647726	7.438606	5.797705	15.81246	6.004763	6.994711	6.873908	9.654517	5.65382	10.21853	4.837057	4.89374	3.468163	3.702606	7.978177	6.492294	5.805152
8/4/2023 12:58:00 PM	18	6.986656	6.067866	7.902305	5.025337	6.162042	6.677503	5.134055	8.039021	8.753822	9.984839	5.62411	7.911589	6.869402	5.67451	7.117295	6.129057	4.967219	4.160224	4.491847	7.110535	5.744507	5.741981	7.265349	6.968492	5.496272	4.950147	6.975864	5.696158	7.490779	7.125625	6.397099	6.238866	7.150894	6.144354	5.841347	5.297613	5.128249	5.810956	6.559904	6.520226	7.21946	8.859062	7.325242	6.354619	5.996504	5.865385	6.744904	6.357831	5.043024	6.707552	7.059108	5.368773	7.19679	6.753506	4.397673	4.631841	4.372064	8.370095	7.488255	5.699368	7.048528	7.112857	5.82195	6.049222	6.387674	7.726111	8.031851	11.57964	5.597136	5.910116	5.482477	4.731957	5.610316	5.043501	4.399039	6.444149	7.322306	11.63175	8.356166	7.347093	6.841197	5.678609	6.371624	5.204667	4.871407	6.883195	6.018426	6.456032	6.152683	5.750791	4.649668	5.408107	4.462414	4.375478	6.120796	6.850208	6.846935	7.034871	7.284611	6.762113	7.377624	7.632005	7.001612	5.49115	6.8694	6.474335	7.215705	6.196867	4.820121	6.117518	5.688444	3.410594	4.771704	4.377526	6.32034	6.928608	7.392375	7.493103	6.370193	7.379535	6.797147	6.11499	6.429672	8.905223	7.772888	6.994304	5.740684	5.820653	5.23294	6.228895	3.998784	4.534661	5.137812	7.898339	8.412097	7.386024	7.969772	6.62669	14.9302	6.66965	8.026045	7.719213	9.505844	6.189497	10.9205	5.736111	5.762946	3.676861	4.218614	8.711001	6.264546	5.917218
8/4/2023 6:58:00 PM	24	7.139151	6.261613	7.505192	4.538148	5.532603	6.732679	4.697334	7.481903	8.050492	8.630762	5.308609	7.128839	6.298483	5.831238	6.147085	6.070736	4.877349	4.092617	4.289499	6.029281	5.758646	5.302322	6.898219	7.54985	5.081812	4.968107	6.428306	5.185205	6.866466	7.025105	5.898571	6.321295	6.953121	5.806108	5.596455	5.145256	5.234645	5.672326	6.591048	6.190379	7.983773	9.12594	7.071201	5.993224	5.871938	5.456048	6.237023	5.657984	5.123059	6.725377	6.694643	5.567292	6.84065	5.621107	4.570516	4.740835	5.418691	7.477327	7.348528	5.541887	6.928676	6.342192	6.476521	5.436995	6.245628	7.315683	7.517274	11.12591	5.889218	5.628346	5.393631	4.524827	5.244208	4.88848	4.443359	5.958123	7.218024	10.83882	8.359445	9.117474	7.150625	5.603897	6.483488	4.686203	4.96401	6.973885	4.979376	6.849937	5.805767	5.884642	4.056764	6.316994	3.968191	4.157221	5.73174	7.542886	6.949435	6.853829	6.889137	6.473993	6.814495	6.999085	7.195557	6.621163	7.682953	6.619656	7.661575	5.345482	5.198043	5.498936	5.175782	3.509957	4.530499	6.332427	7.229501	6.676884	7.817964	7.194055	5.751749	7.331728	5.673828	5.830079	6.769351	8.5988	7.200951	6.82631	5.834107	6.004014	4.877008	6.070463	3.999466	4.862256	5.106123	7.335555	8.564933	6.545766	7.519804	5.53349	14.91552	6.243852	7.395175	6.626009	11.27124	5.663586	12.38411	5.031275	5.571664	3.614032	4.02576	8.199844	6.580259	5.402642
8/5/2023 12:58:00 AM	30	7.596014	5.67731	7.476987	4.532138	5.325406	6.161697	5.20822	7.088274	8.051585	9.312927	5.440681	7.163394	6.672037	5.86641	6.726059	5.91954	4.616546	4.278231	4.483172	6.606342	6.082482	5.733858	7.094965	8.073576	5.266608	5.146621	6.665823	5.54421	7.021553	7.117297	6.197073	6.242624	6.513194	5.793407	5.639477	5.212044	5.178921	5.313933	6.61399	6.534227	9.177634	9.170597	7.252784	6.037203	5.650334	6.028463	5.944399	5.940503	5.353475	6.770718	7.248143	5.678541	5.955256	5.651837	4.446227	4.922148	5.7708	7.987392	7.411493	5.884369	6.593845	6.885656	6.293433	5.212179	6.110756	7.201976	7.286318	10.7695	6.07934	5.582456	5.332782	4.743771	5.501598	5.015091	4.601589	6.232653	7.627977	11.09416	8.991411	9.32945	6.54126	6.044922	6.73514	4.842657	5.377786	6.656195	5.077853	6.49045	6.189836	5.897889	4.277207	6.389584	4.262592	4.204066	6.265841	7.856616	7.309879	7.407259	6.992938	6.546588	7.377074	7.229157	7.972711	7.016908	7.503142	7.115111	7.971343	6.090812	5.033394	5.529801	5.28491	3.523683	4.536849	6.386377	7.492418	6.810877	8.443784	7.944849	5.719515	8.496778	5.860738	6.022592	6.806365	8.66204	7.949493	7.249578	5.585185	5.718902	5.129548	6.306068	4.212875	4.378142	5.022126	7.960896	9.218679	6.718271	7.504441	5.832537	15.85856	6.372581	7.604212	7.47623	10.23567	5.662083	11.72128	4.77464	5.397796	3.774859	4.189453	8.187487	7.50533	5.677242
8/5/2023 6:58:00 AM	36	7.619576	6.405977	7.886118	4.779556	5.507949	6.504181	5.275348	7.96561	7.708765	9.036002	5.488485	7.469269	7.064303	5.357981	7.223077	6.623551	4.881242	4.198809	4.507687	6.519886	6.434045	5.775172	7.11545	7.707332	4.822033	5.382088	6.730221	5.631079	7.786345	7.374208	6.137046	6.544333	6.668828	6.117719	6.114167	5.02117	5.25896	5.510202	7.52554	6.106999	9.751355	9.636078	7.681925	6.799127	5.60376	6.470647	6.646906	6.318769	5.453864	7.143385	7.182651	5.575353	5.847697	5.695411	4.796424	4.764941	5.258276	8.222585	7.968068	5.881501	7.519258	7.529571	6.28476	5.417189	6.20083	7.797271	8.620998	11.38023	6.220363	5.801121	5.539568	4.745001	5.808567	4.828862	4.586702	6.249317	8.148697	10.91551	9.047816	10.6489	6.587698	6.121953	6.908732	5.073004	5.454068	7.083217	5.26374	7.058907	6.016648	6.206156	4.351715	6.464911	4.065847	4.190411	6.34158	8.281111	7.556542	7.352284	7.298881	6.267005	7.547392	7.337882	8.055408	6.299784	8.0326	6.990002	8.192608	6.409047	5.428664	5.922406	5.681272	3.459149	4.895516	5.77237	7.564191	7.016977	7.676739	8.412165	6.704407	8.579749	6.208546	6.240096	6.973613	8.795754	7.89841	7.560371	6.134929	5.633397	5.116438	6.685424	4.585882	4.176408	5.001775	7.963698	9.8641	6.672926	7.939796	6.546041	16.2907	6.464298	7.693402	7.837698	10.97998	6.029008	12.38629	5.174825	5.455433	3.628443	4.080323	7.991968	7.156633	5.651495
8/5/2023 12:58:00 PM	42	7.556406	6.57718	7.749672	5.056682	5.605468	6.557447	5.176667	7.540836	7.131022	10.0982	5.661943	7.68903	7.061707	5.455569	7.137376	6.358513	4.808238	4.362571	4.831867	6.246174	6.372104	5.746763	7.366967	7.482042	4.980059	5.159322	6.917273	5.917902	7.53715	7.489412	6.467573	6.316652	6.881004	6.47973	6.092383	5.153314	5.492105	5.65942	6.975047	5.636949	10.08543	9.463984	7.640133	6.876568	5.840186	6.766412	6.33427	7.03774	5.570232	7.421942	7.377828	5.997323	5.46561	5.279854	4.931162	4.909515	6.036385	8.068995	7.823497	5.929512	7.545891	7.541177	6.100446	5.78323	6.524189	7.671207	8.275168	10.80597	6.469828	5.8927	5.686326	4.800658	5.952317	4.708191	4.699176	6.775771	7.861601	10.50726	8.872104	10.53882	6.292338	6.63666	7.102203	5.130642	5.349923	7.045727	5.958806	7.4888	5.798392	6.087399	4.501065	6.457743	4.400335	4.58602	6.264409	7.907424	7.778281	7.280171	7.360687	5.919948	7.661442	7.65898	8.161193	6.487312	7.884204	7.399745	8.921618	6.137182	5.223108	6.135816	6.165864	3.763522	5.174826	5.689876	7.543706	6.777139	7.032139	8.459151	6.568168	8.965729	6.735548	6.565367	7.379601	9.108936	8.63138	7.52875	5.723133	6.455148	5.207196	7.246912	4.633958	4.377116	5.269818	8.182979	9.551325	6.736777	8.151705	5.783847	14.36626	6.471193	8.022832	7.519191	9.8949	6.462044	13.47199	5.445736	5.985918	3.930288	4.375751	7.637809	6.788813	5.987761
8/5/2023 6:58:00 PM	48	7.391692	6.488404	7.70057	5.222697	5.883618	6.524737	5.513958	7.508056	7.264808	9.876872	6.516882	7.639452	7.19897	5.334901	7.443927	6.390953	4.770816	4.544225	5.164239	6.502336	6.20889	5.430985	7.692443	6.917272	5.197295	5.276031	6.651896	5.836293	7.162779	7.938222	6.94131	5.737336	6.865304	6.761568	5.764656	5.250698	5.795182	5.895705	7.765445	5.228914	10.30861	9.378551	8.269022	7.008714	6.129399	6.454804	6.188878	6.751667	5.984074	7.275114	7.837699	6.223776	5.283679	5.285317	5.013659	5.028339	5.821472	8.49138	8.173349	6.089652	7.158815	7.520076	6.244195	6.118948	6.07695	7.293352	8.789059	11.03529	6.644722	5.89236	6.250205	5.196336	5.937705	4.3862	4.992965	6.550205	8.119061	9.660046	7.781973	10.44901	5.805903	6.56318	7.03111	5.054838	5.075121	7.51912	5.0351	7.038761	5.492924	6.612282	4.951853	6.137593	4.29947	4.739539	6.834774	8.52273	8.479294	7.691421	7.187227	6.380507	8.083344	7.753766	8.08628	6.130832	7.986987	7.424265	7.684594	6.130697	5.141841	5.831238	6.302312	4.086607	5.402985	5.699642	7.277438	7.107803	6.468872	8.981915	6.700654	9.71338	7.369698	6.835116	7.431505	9.019682	8.5062	7.803754	5.930396	6.806573	5.013863	7.416069	5.122309	4.02972	5.776674	8.289992	9.372265	6.937076	8.229007	6.108022	13.61779	6.641514	8.198072	7.262962	9.525715	6.176041	12.41914	5.304373	5.702374	4.105045	4.350211	7.314317	6.321021	6.123595
8/6/2023 12:58:00 AM	54	7.233597	7.373524	7.555864	5.302461	5.774899	6.87541	6.105424	7.988967	7.47111	9.730459	6.735345	8.483871	7.238447	5.423064	7.627565	6.777955	4.892646	4.579328	4.898657	6.616586	6.233133	5.81355	7.940613	7.194055	5.328959	5.776879	6.825967	6.407822	7.303393	8.08751	7.087932	6.193109	6.87145	6.897262	6.277589	4.948303	5.753114	5.540524	7.815443	5.264558	10.14177	9.836718	8.327826	7.542884	5.789992	6.833135	6.222614	7.330089	6.065271	7.405481	7.722149	6.773861	5.358936	5.242023	5.120465	5.45038	5.890446	9.782558	8.309319	6.024159	7.373456	8.341415	6.384665	6.531835	7.139492	7.800479	9.394941	11.61911	6.754531	6.016033	6.147085	5.2018	6.530813	4.488636	5.424908	6.735617	8.696183	9.986339	8.72569	10.79408	5.717191	7.069971	7.169059	5.255135	5.862105	7.681109	5.98749	7.123647	5.732695	6.511147	4.861914	6.505476	4.24265	4.658341	6.851846	9.083055	8.648793	8.574559	7.674145	6.665349	8.309319	8.28637	8.486602	6.658516	8.422204	7.856136	8.009929	6.479321	5.193468	5.893862	6.580389	4.393096	4.948575	5.884166	7.904491	6.985291	6.392316	9.564918	7.282558	10.84954	7.823629	7.153832	8.126708	9.102242	8.86043	7.712179	6.440463	6.570284	5.431532	7.747554	4.986751	4.226125	5.357435	8.543418	10.11691	7.042585	8.605632	6.348267	15.70551	7.027836	8.239044	8.467134	10.34255	6.780825	13.9729	5.41835	6.138755	4.29947	4.802023	7.136622	6.546314	5.631145
