Vessel Name: Plate_03
Date Time	Elapsed	C4	C5	C6	C7	C8	C9	C10	C11	C14	C15	C16	C17	C18	C19	C20	C21	D4	D5	D6	D7	D8	D9	D10	D11	D14	D15	D16	D17	D18	D19	D20	D21	E4	E5	E6	E7	E8	E9	E10	E11	E14	E15	E16	E17	E18	E19	E20	E21	F4	F5	F6	F7	F8	F9	F10	F11	F14	F15	F16	F17	F18	F19	F20	F21	G4	G5	G6	G7	G8	G9	G10	G11	G14	G15	G16	G17	G18	G19	G20	G21	H4	H5	H6	H7	H8	H9	H10	H11	H14	H15	H16	H17	H18	H19	H20	H21	I4	I5	I6	I7	I8	I9	I10	I11	I14	I15	I16	I17	I18	I19	I20	I21	J4	J5	J6	J7	J8	J9	J10	J11	J14	J15	J16	J17	J18	J19	J20	J21	K4	K5	K6	K7	K8	K9	K10	K11	K14	K15	K16	K17	K18	K19	K20	K21	L4	L5	L6	L7	L8	L9	L10	L11	L14	L15	L16	L17	L18	L19	L20	L21	M4	M5	M6	M7	M8	M9	M10	M11	M14	M15	M16	M17	M18	M19	M20	M21	N4	N5	N6	N7	N8	N9	N10	N11	N14	N15	N16	N17	N18	N19	N20	N21
4/17/2024 6:00:00 PM	0	3.647972	4.230154	5.386185	2.151989	4.218135	3.880231	3.541029	3.759834	3.197389	2.695107	2.926546	2.378373	5.23178	3.025295	6.20083	3.169935	3.160784	3.502103	3.638209	3.329804	4.224077	3.971058	3.705133	3.380887	2.208465	2.759233	2.644845	2.529023	3.783872	4.805916	4.518959	3.360127	5.94781	6.053663	5.238199	3.182706	5.022739	4.774162	4.717343	4.73544	4.296124	3.738049	3.893548	2.763125	3.779501	5.144914	4.793008	3.489743	4.125602	5.487119	4.08326	3.784829	7.519803	4.547365	4.687499	4.301382	4.584721	5.861015	3.725279	3.071392	4.68661	4.173882	6.989524	3.660743	4.208234	6.375791	4.511992	6.458903	5.535403	5.314754	5.981001	4.508577	3.932269	6.198304	3.611095	3.3156	3.814261	3.712644	4.441788	3.737912	4.784268	4.222573	3.175535	4.331567	4.395077	4.23548	4.555084	4.111055	4.798336	4.053417	5.210403	3.03431	2.866791	4.279256	3.999263	3.23768	4.807282	4.73462	4.569766	4.626789	4.676436	5.94071	5.475169	4.875779	4.970909	3.908093	3.971399	4.597765	2.698454	3.529078	3.643466	2.310355	3.924894	4.10962	3.782984	5.076146	3.931791	5.871258	3.860086	4.270992	2.761896	3.783463	4.11884	2.913639	3.496639	3.00269	4.991531	2.870205	7.031252	5.58061	6.271852	4.848805	4.72267	5.144776	4.382717	4.562389	3.257485	4.13885	3.764136	4.068646	3.280771	3.05944	4.308552	2.514545	4.618252	4.757978	4.20038	3.707591	4.669334	4.929386	7.327973	5.008059	2.974281	2.787984	2.688825	3.901402	2.721195	3.846494	4.486382	3.546903	6.57643	6.777345	5.415688	3.595935	4.168351	5.57542	4.219637	4.584037	3.296479	2.648943	2.961511	2.874167	2.856821	3.743238	5.835403	3.083205	6.671696	5.569139	6.867897	5.432897	4.819232	4.342765	5.59461	5.03517	2.731643	2.928185	4.320912	3.516649	3.498006	3.918885	5.893589	2.776374
4/18/2024 12:00:00 AM	6	4.410306	3.290673	6.387813	4.582263	4.199424	3.926055	4.37418	4.727108	4.070967	3.925576	3.037383	4.220525	5.231441	3.917518	5.482681	3.89423	4.051641	4.019066	4.999589	4.944958	4.684154	5.240179	4.691666	4.833711	3.555301	4.35506	3.974883	3.477996	4.503181	6.495984	5.329367	3.658081	5.840731	6.657969	7.449738	5.01277	5.362489	5.711318	6.2556	4.95479	4.644682	4.328356	4.999795	3.836116	5.645418	4.471221	6.143944	3.8411	5.047121	7.406921	5.818195	5.232532	7.725357	5.861562	4.9888	4.155512	5.07594	6.169279	5.19299	3.701035	5.077853	4.755245	7.546161	4.139805	4.207892	7.317319	5.507335	8.177106	5.803036	5.445873	6.138003	5.240452	4.038054	5.759466	4.498882	4.756611	3.834885	4.118225	5.29215	5.163762	5.629302	4.79014	4.162615	5.359621	5.134534	5.029228	5.619196	5.407904	4.741996	4.440149	4.886158	3.607204	4.093845	4.699929	4.615179	4.082645	5.328685	5.491354	5.3405	5.060984	6.423527	6.801585	6.806163	6.284077	4.696855	4.231519	4.49649	4.37254	4.03648	4.085378	5.598843	3.364224	4.563005	4.69911	5.158161	6.10734	5.323972	6.360085	6.086782	5.94023	3.863158	3.946814	3.87183	2.87205	4.087085	4.049729	7.028381	3.470006	7.03876	6.362885	7.174526	6.533747	5.500028	6.872609	6.515448	5.964339	4.843203	6.390816	3.775062	4.025826	4.642017	5.261555	6.750437	3.854895	5.689262	6.150089	4.816978	4.356151	4.801615	6.751122	10.02424	5.864088	4.712632	5.127909	3.776224	4.942498	4.255353	4.746503	5.920973	4.729978	7.605235	7.936309	6.589612	4.26744	4.690982	6.44456	6.03734	5.039131	5.213136	4.716183	4.520051	3.112776	4.530839	5.109265	8.393725	5.05149	7.536262	7.153012	8.169251	5.038105	5.312978	5.809865	6.563114	5.327524	3.527303	3.865686	4.544088	4.570244	4.083192	4.562047	7.556477	3.880844
4/18/2024 6:00:00 AM	12	5.93743	4.828588	7.723174	6.69908	5.430303	5.374849	6.083233	7.100362	4.477436	5.693085	5.234443	4.706347	7.865561	5.020624	7.667041	7.181149	5.68127	5.912642	6.728582	7.381856	6.904022	6.622252	6.30231	6.768329	5.033188	5.548718	5.278286	4.293938	5.347329	7.951611	7.119959	5.336538	7.86194	8.584805	9.729432	6.822006	7.407259	7.388207	8.046465	6.483487	5.896525	5.044456	6.26161	5.12586	6.554985	6.705567	8.984101	5.574601	6.010982	9.040783	7.66649	7.516799	10.82284	7.586798	6.770514	5.475785	6.076402	6.548023	7.309127	4.456675	6.607638	6.521457	10.24332	6.565365	5.995342	10.87351	8.475605	11.3467	7.590145	7.145569	7.657546	6.436707	5.135013	6.591659	6.51811	6.102764	5.737064	5.450516	7.52916	6.106383	6.700994	7.312063	6.032356	6.538734	6.6704	5.921382	6.100988	6.412191	5.542369	5.951705	6.39594	4.615316	5.008399	7.515914	6.35073	5.44314	6.771606	8.414075	7.989372	7.550056	7.44393	8.103213	8.260489	7.338559	7.45896	6.374699	7.559344	6.936257	6.88142	6.826444	9.683265	4.559453	5.596864	6.697033	7.166533	7.020324	6.514218	7.196107	7.798091	7.099062	6.144559	8.041958	6.442855	5.153586	6.600468	6.707006	10.15939	5.393356	8.998375	9.962371	10.56647	7.537626	7.21543	8.290469	7.865903	7.982476	7.70856	9.994538	6.089652	5.93914	6.803089	7.609811	7.739156	5.622746	6.750299	6.536073	6.825146	5.813757	5.530076	7.150349	12.25886	7.177528	7.295536	7.494262	6.332358	6.864893	6.621368	8.174782	7.80567	6.534229	11.03768	9.598996	8.568551	5.687894	5.878017	8.195273	7.526975	6.604295	7.967175	6.86421	6.465937	5.159186	7.293353	7.055973	10.19272	6.695256	11.0624	10.44915	9.824149	6.403859	7.317936	6.809645	8.588013	6.608938	5.991789	5.66099	6.636527	6.163339	6.015079	7.129385	8.861381	5.177557
4/18/2024 12:00:00 PM	18	8.377062	6.710145	8.045715	5.595908	4.770542	7.775554	7.540974	8.245873	5.715555	6.293707	5.567636	5.84995	9.471426	7.151578	9.255489	7.949425	6.879031	8.430669	6.729267	7.510105	7.356587	9.869357	8.627142	7.967181	6.117857	6.326759	5.417123	5.740413	7.318549	9.727792	8.818018	6.985495	9.463641	9.285129	9.732638	6.83102	6.364046	9.660048	10.02315	8.634519	7.647851	6.769967	7.907015	6.55608	8.40752	8.439548	11.89276	6.252322	7.99866	8.501831	7.642659	7.685001	9.1439	10.77599	8.060805	7.237355	7.700777	8.765095	8.81713	6.476795	8.449722	8.822593	11.65899	7.542683	6.823098	12.47692	9.310327	10.93661	6.578959	7.777534	8.577497	8.412983	7.119411	8.099254	7.171177	7.778969	7.636173	7.323194	8.788651	7.926545	8.15211	7.490987	6.690205	6.304838	7.573956	7.587003	7.122486	8.854213	6.745792	8.431833	6.90505	6.188811	6.335092	9.714133	8.20094	7.35413	9.025076	9.230633	8.938825	7.380012	9.184401	10.92241	9.709286	8.860358	7.51079	6.787655	8.072893	7.995521	7.848078	9.350001	9.747118	5.735767	7.220551	7.724611	7.562691	9.130857	8.040797	8.857285	8.774925	8.985058	6.579982	8.671533	7.557639	6.677639	7.622447	8.227368	10.01031	6.260857	11.93585	10.32035	11.35401	8.948796	9.75067	9.954793	7.230522	8.845745	8.078425	10.82625	7.094556	6.944518	8.7612	7.398997	5.735291	6.883673	8.25489	7.711702	8.836591	7.185517	7.842275	7.592466	11.75549	10.17155	8.195681	7.59226	7.959326	7.737858	8.304877	7.28215	7.518234	7.550672	12.27375	11.56769	11.13896	7.355361	7.996272	10.74642	9.376501	8.661151	9.558498	7.724339	7.211403	6.283191	8.883781	7.798363	9.786999	6.935303	12.19372	10.56333	13.26957	8.930972	8.049471	8.948935	10.42709	8.498621	7.068944	6.965415	8.673923	7.06164	6.943087	8.977339	7.964039	5.261624
4/18/2024 6:00:00 PM	24	8.308976	7.127678	9.399927	6.765734	4.978351	7.268631	7.087864	8.199435	6.649297	7.667791	6.499263	5.963655	11.66501	6.513194	8.115575	8.139344	6.976548	8.464406	7.094146	8.606382	8.094473	9.71632	9.046452	8.387443	5.911618	6.828359	7.679468	5.926846	7.349077	8.45177	7.971822	5.819015	8.916357	9.612037	9.950149	7.772892	8.591496	8.359035	10.44047	8.726572	10.0099	7.505942	11.36753	11.58756	7.512019	12.86631	10.3056	10.85876	7.678716	9.831525	8.276129	7.885982	12.06949	10.49033	9.70314	9.072266	8.857627	10.33954	9.48973	7.065055	8.053909	7.84009	10.59147	7.257634	6.98645	12.53599	10.79382	11.53621	9.726357	9.164594	9.332521	9.373567	8.484892	11.33748	7.294376	7.927367	12.04962	6.991916	8.865137	8.113867	8.460924	8.328032	6.877049	8.823821	8.151087	7.642592	8.690927	9.240192	8.535772	14.30255	7.755955	6.74477	9.829752	9.659434	7.33692	6.979759	8.160169	8.573261	9.383741	8.357394	10.88048	12.1257	10.3196	10.12675	8.166042	9.136527	8.969008	8.184003	13.72009	8.396184	17.24971	5.662354	6.321161	7.932625	7.525202	9.390704	8.314575	10.8604	9.555698	8.813511	7.06	8.439344	7.345047	6.612148	7.99675	7.782793	13.11496	6.728173	9.715156	10.26456	11.24754	9.507963	9.803936	10.23779	8.358829	9.543953	8.490492	11.15644	7.337329	7.021827	8.23645	8.800875	8.704588	6.12687	7.040812	8.03226	7.132935	7.472958	8.429238	8.971127	13.03847	9.642497	9.982451	8.592453	7.568223	8.70479	8.577086	8.260897	10.26436	8.155047	10.22672	9.87011	9.128331	8.761675	8.402263	10.09854	8.780663	8.990113	10.18384	7.277236	7.570269	8.512688	12.74264	8.236792	18.46618	7.900389	10.96905	8.986423	12.95133	9.398899	9.158996	10.07293	11.45201	8.697689	8.17977	7.378442	9.479757	7.374891	7.356727	8.366065	9.835074	5.684686
4/19/2024 12:00:00 AM	30	9.649323	8.934249	12.6458	8.823206	6.997104	8.633562	7.955362	9.941747	7.48272	8.065448	7.451444	6.710693	12.55136	8.466522	9.872091	10.6726	8.125068	9.257331	8.449656	11.28627	10.2957	11.11662	11.09341	10.37854	7.490782	9.51083	9.340512	7.295468	8.259809	9.406553	9.721849	7.606056	10.11432	10.97369	12.91938	9.973911	10.60888	9.902344	11.90914	10.34617	12.1565	8.017374	11.75583	7.89882	9.463438	9.058334	13.3227	11.15391	8.639094	10.70429	10.74143	10.49921	15.05388	11.74811	11.35735	10.06857	10.66461	12.39251	10.92432	7.975784	10.34071	8.998372	13.18346	9.045904	8.328439	15.98216	13.6632	13.50893	11.73487	11.25348	11.93277	10.66372	9.244494	11.56489	9.035251	8.307473	7.57587	9.863215	10.85378	8.171371	9.828588	10.40729	9.15845	11.66248	11.41718	10.46527	9.717614	10.11295	11.14428	9.527287	10.52933	7.588913	6.900405	12.20163	8.516512	8.478133	9.34782	10.67799	12.3882	12.26091	12.22253	13.35289	13.45512	12.48907	9.772455	8.597777	12.0445	11.24208	12.54773	10.20972	14.66892	6.508345	8.238296	8.517741	10.40046	12.21249	11.00593	12.26603	12.70289	11.15958	8.341755	10.56866	8.095224	8.446583	9.083739	9.174567	14.39174	8.049197	13.38232	13.60686	14.02938	11.98795	11.78649	14.15537	13.19322	12.46238	9.52565	12.10774	9.287588	8.407996	10.39752	10.62732	9.797789	7.336784	9.626514	11.38194	9.981421	9.065914	10.11862	13.62544	17.57444	12.25853	10.51751	8.518699	10.26053	8.691403	10.18248	10.94979	11.28804	10.43255	15.16643	16.57261	12.06191	10.04282	10.05505	13.31717	11.41246	11.40857	11.58169	8.607547	8.289168	9.697263	12.19098	9.147864	13.83994	9.978759	15.05948	13.74693	15.42156	10.89359	11.12134	11.59719	13.69557	10.15222	8.686965	8.35084	9.153189	8.360808	8.457305	11.23272	12.08677	6.941857
4/19/2024 6:00:00 AM	36	10.45673	9.486722	14.07445	11.4684	8.977748	10.22932	8.424319	11.45453	8.945722	6.879436	9.075953	7.923472	13.0944	10.29959	10.55405	12.09401	9.004997	10.26995	8.431968	11.44736	12.57587	11.59787	11.08119	12.00659	8.102123	9.676981	10.41876	7.707195	9.725605	12.11504	10.31701	9.388588	11.23122	12.14966	14.59087	10.80938	13.61929	12.31165	14.07759	12.04136	12.82786	7.06485	12.10193	6.709119	9.997131	7.461894	13.83372	11.59241	8.397753	11.66596	12.19863	9.939561	15.1217	13.15252	12.26624	10.20876	11.95504	12.86877	11.45433	8.392838	10.26599	10.75387	14.21301	10.16096	8.939573	16.92908	12.3066	14.39091	14.37671	12.49058	13.2932	12.10753	10.44519	12.44837	9.896539	9.653559	6.756309	9.99392	11.64868	9.969473	11.62034	11.69054	9.980809	12.34758	10.95225	10.96728	11.29398	9.716798	11.42571	7.132251	10.83998	8.384916	5.350537	13.2385	9.272834	10.4626	10.26067	12.98371	13.86316	11.8612	12.69613	13.69605	12.99422	12.44803	10.38168	6.924306	13.42651	12.45629	13.70096	12.58673	15.6683	8.915809	9.795946	9.636211	12.70604	13.48462	11.28811	12.66663	13.57531	11.45173	11.07483	12.61391	9.485016	9.72813	10.95054	11.17973	12.16476	9.013807	14.3623	15.03271	15.98558	10.87126	11.36582	14.04611	13.79439	13.27497	11.1492	11.98802	11.78096	9.83248	12.05085	9.449845	7.543365	8.967916	10.40701	13.10881	9.44998	9.248044	11.57165	13.14699	17.18463	11.93626	11.53218	10.51321	10.98954	11.22828	11.33489	10.68352	8.913965	10.07758	14.71174	15.27849	13.2484	10.92507	9.941269	12.2379	13.59375	12.4972	10.71432	10.13412	10.35341	10.17585	14.08169	9.923173	8.435795	9.394599	15.28853	14.70205	17.00079	12.50232	10.59741	12.58229	13.26295	11.37832	10.99377	9.535618	10.85118	10.04466	9.964351	11.16996	10.58751	6.225892
4/19/2024 12:00:00 PM	42	12.76456	11.46218	14.71522	11.21531	9.585884	10.91756	8.026386	12.28687	10.42573	5.876516	9.724514	7.922175	13.4905	10.95901	12.1554	12.95557	11.02102	12.29192	7.538379	11.05195	12.33883	10.03483	12.93604	13.25141	7.795701	9.941952	9.149368	8.149037	10.79587	13.12691	11.31009	9.511583	12.9598	12.26064	15.76957	10.4402	13.3649	13.78305	14.53275	13.66655	13.08621	6.141555	11.87513	5.974241	10.03216	6.858677	14.48638	11.05148	10.11643	12.69238	13.55844	8.118784	13.20695	13.19036	14.64966	12.51865	14.1982	14.90541	9.812677	9.47846	12.38315	11.60907	14.99549	10.69903	11.44374	18.36552	10.45864	16.27144	14.18153	14.27899	14.88958	13.44788	11.9687	14.88835	10.80802	10.80508	7.030362	11.2737	8.7136	10.38639	13.07207	10.10244	11.65298	13.19951	13.10526	13.39523	13.9927	9.240056	13.607	7.138125	12.79119	9.592916	5.765337	13.55742	10.56272	10.42006	13.46857	13.84888	13.57633	12.68158	15.36003	14.96831	11.52767	14.85399	11.77598	6.480893	14.88186	13.36211	12.46264	13.62264	14.45005	9.264504	11.68133	8.693181	12.993	14.6653	14.33122	14.62125	15.10196	10.02103	11.64964	14.10067	10.82147	11.21886	12.03958	11.73971	15.70081	9.249208	15.1081	12.83982	17.14626	9.430318	13.88283	15.92856	14.80571	14.58555	11.44797	10.59509	11.78049	9.411329	14.22831	9.322757	11.20274	10.09929	10.09492	13.13661	9.413381	11.11069	13.05664	13.76489	14.21615	14.68976	12.92006	10.99377	11.23108	11.88319	11.60559	12.999	11.36862	12.87717	16.29815	16.6702	12.70965	11.03516	9.378071	10.59973	13.75847	14.19806	9.754628	11.3549	11.89563	11.1647	13.13026	10.18001	11.99328	12.25244	15.16212	13.14678	15.79429	14.41802	12.69551	13.59231	12.42693	12.62429	11.85792	11.9185	11.50083	11.22282	10.69957	13.98294	13.99858	8.154297
4/19/2024 6:00:00 PM	48	11.05189	12.15711	14.8544	10.45735	9.457424	11.70413	6.663364	13.79343	12.32244	6.806161	11.36043	10.16437	12.07141	13.10335	12.68111	11.94015	10.78036	12.46531	5.280608	10.23335	12.90892	7.607763	13.55701	12.82581	6.578888	11.86824	11.6353	9.415291	9.998633	15.05573	11.72531	9.711946	11.89993	11.32847	15.75599	8.961362	13.83502	13.61574	14.92802	13.66225	12.85593	5.865589	12.24883	5.532602	10.76192	7.066215	15.91216	11.79647	10.14457	10.88546	13.44938	6.183074	10.33572	12.74079	13.77411	13.14105	13.32024	16.77748	8.432583	10.31086	13.52314	13.53481	16.30231	11.32273	10.04329	20.19599	7.193578	16.45508	15.70224	13.92831	14.91395	13.60911	12.35461	13.79418	11.53887	11.44866	7.248209	13.86766	8.268889	12.18047	12.46681	11.83962	11.63912	14.43216	12.93877	14.09351	11.48533	6.716428	14.35287	6.190108	13.99066	11.20117	4.790619	13.82676	11.38556	11.48424	12.64505	14.75675	15.6616	13.43367	15.62179	13.05008	9.112078	15.24441	13.22143	6.28565	17.21898	15.27562	12.83749	14.9746	14.04774	8.620175	11.28606	7.335008	14.66312	14.543	14.3963	14.79875	15.0872	6.70953	13.34496	16.11943	12.08813	12.65092	12.87922	12.3962	15.02342	10.14068	18.17492	15.64146	17.61801	8.331306	13.82635	16.29548	14.57257	13.58548	11.68351	8.830173	14.44958	12.01233	14.85119	7.294171	12.36287	11.33482	12.01732	14.91088	6.993212	11.71001	13.67563	15.11691	11.7727	14.53405	13.26718	13.64538	11.80179	13.48032	11.7475	13.3397	11.03181	12.77269	17.14885	18.90475	13.64736	11.78916	6.220361	8.882347	15.41753	14.30562	7.913979	13.19172	12.09299	12.12918	12.30141	10.50638	10.13453	12.59697	19.08961	17.61589	17.83278	13.20039	11.64083	13.27224	8.521226	12.71805	13.6574	14.19785	12.44892	12.38281	11.66582	13.72841	13.02038	8.348585
4/20/2024 12:00:00 AM	54	11.88702	13.15956	16.66623	12.23373	10.84394	13.23167	5.16062	14.99549	12.4117	5.305262	11.69703	10.45086	13.51706	13.84322	14.9283	13.38464	12.55129	13.25796	4.03689	9.551669	14.36715	7.329954	15.08585	14.48747	5.595499	13.87101	12.62231	8.804563	12.86215	15.067	12.87041	10.43003	14.12983	11.62949	18.65003	10.01728	14.96852	14.46836	16.17673	14.69556	13.94039	5.888945	12.68657	5.071568	9.066255	6.452619	17.94047	11.85506	11.35646	12.13532	14.56396	4.758044	7.193919	12.18047	15.03728	15.28648	14.38285	18.44986	5.930124	10.02636	15.46506	13.89847	17.98841	13.11086	11.64295	23.46659	5.608268	20.08304	17.41054	14.52503	17.54576	15.68762	13.18107	15.48979	12.18333	11.18321	6.728586	13.98137	5.902603	12.0042	15.29693	11.53737	13.00768	16.57595	16.29186	16.05264	13.52778	5.377512	15.61756	6.245902	14.70444	11.58934	4.596262	14.93622	12.34552	12.07079	14.91545	15.81601	17.08684	15.63258	16.90081	13.32721	6.317335	17.89056	15.57159	5.984209	19.25358	16.04779	11.25745	15.19271	11.76608	10.10257	13.44897	5.271389	16.19203	16.69136	15.41842	16.29282	16.66856	5.945148	13.8325	15.89414	12.45377	13.22825	12.15089	13.10396	15.63606	9.89838	19.20933	14.6214	17.63966	5.8983	15.81553	19.52483	18.05172	14.54252	12.54624	6.81381	14.98941	11.95415	15.48432	5.253496	14.09426	12.29936	12.75486	17.0053	5.162464	13.0216	15.54107	16.71431	9.388658	16.95756	12.27655	12.72488	9.595305	12.97312	10.19292	14.9257	11.21387	14.34311	18.42739	19.54853	15.0672	14.14308	4.900908	7.16148	17.56044	17.86481	5.413433	14.18706	11.8948	12.64512	11.07592	11.52323	9.978351	13.96634	19.32652	17.15991	19.31532	15.83847	12.4707	15.24393	6.946296	12.79856	12.48026	13.58781	13.70951	13.7485	12.79263	14.71086	15.01537	8.524298
